term_localName,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass
FeedingPredationTraces,feeding predation traces,Free text description relating to aspects of feeding and predation,,,"ammonite with bite mark from plesiosaur,  shell drilled by predatory gastropod etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Formation,formation,The primary lithostratigraphic unit characterised by its lithologic features although it may be diachronous. ,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
FossilSubzoneName,fossil subzone name,"The subzone name, if any, this should ideally be in expanded form rather than abbreviated.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
FossilZoneName,fossil zone name,The actual name of the biozone. Ideally this should be in its expanded form although common usage tends to abbreviate the generic epithet.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
FullScientificNameString,full scientific name string,Full formal name string as used in 'Taxon Identified' in main schema,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Geologists,geologists,The geologist(s) and or organisation responsible for logging the borehole and or maintaining the borehole record.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Group,group,Lithostratigraphic unit consisting of two or more formations,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Hazard,hazard,Container for describing hazards that may be associated with the specimen,,,"radioactive, toxic, carcinogens etc.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HazardKeywords,hazard keywords,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HazardText,hazard text,Free text describing any hazards that may be associated with the specimen/unit,,,"is it radioactive, poisonous, carcinogenic?",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HoleDiameter,hole diameter,Diameter of the borehole in milliimetres,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HoleDirection,hole direction,Direction and inclination of the borehole or well,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HostRockStratigraphy,host rock stratigraphy,Container for any stratigraphic determination specific to the host rock. For instance the gathering site may include a range of stratigraphic horizons whilst the unit host rock may represent just one. The unit itself might be different if it is allocthonous in origin. Minerals may be of a different age from their host rock.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
HostRockText,host rock text,Free text element for general description of host rock,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
IdentificationAnalysis,identification analysis,container for analytical techniques employed for identifying a mineral or rock. Note that this differs from the existing Measurement element in that it allows for multiple values to be obtained from a single analysis,,,percentage values of elements in a mineral.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
IdentificationAnalysisAtomised,identification analysis atomised,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
IdentificationQualifier,identification qualifier,Element as used in TaxonIdentified,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Identifiers,identifiers,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Identifiers,identifiers,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Identifiers,identifiers,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Identifiers,identifiers,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Identifiers,identifiers,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
Identifiers,identifiers,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
InformalLithostratigraphicName,informal lithostratigraphic name,An informal lithostratigraphic name (ie. one not yet characterised as a formation or member or an old name still in general use,,,Schaumkalk as part of the Muschelkalk or Keuper Marl as a synonym of the Mercia Mudstone Group. includes language as an attribute.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
InformalNameString,informal name string,Common name or language variant of formal mineral or rock name,,,Fluor Spar.  Includes attribute for language.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
IsotopeStratigraphicDetail,isotope stratigraphic detail,Free text describing the isotope correlation result.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
IsotopeStratigraphicDetermination,isotope stratigraphic determination,Single record of an isotope stratigraphic determination,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
