namespace,term_localName,label,definition,usage,rdf_type,tdwgutility_organizedInClass
abcd:,subjectPart,Subject Part,"The portion or product of organism morphology, behavior, environment, etc. that is either predominantly shown or particularly well exemplified by the media resource.","No formal encoding scheme as yet exists. Examples are ""whole body"", ""head"", ""flower"", ""leaf"", ""canopy"" (of a rain forest stand). Several anatomical ontologies are emerging in http://www.obofoundry.org/",http://www.w3.org/2000/01/rdf-schema#Class,
abcd:,subjectOrientation,Subject Orientation,"Specific orientation (= direction, view angle) of the subject represented in the media resource with respect to the acquisition device.","Examples: ""dorsal"", ""ventral"", ""frontal"", etc. No formal encoding scheme as yet exists. The term is repeatable e.g., in the case of a composite image, consisting of a combination of different view orientations.",http://www.w3.org/2000/01/rdf-schema#Class,
abcd:,audioChannel,Audio Channel,Channel(s) used for recording audio track.,"Recommended vocabulary: ""mono"", ""stereo"".",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,durationTimeCode,Duration Time Code,The duration of the recording expressed as a time code.,Pattern: [0-9][0-9]:[0-5][0-9]:[0-5][0-9].[0-9][0-9],http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,focalLength,Focal Length,"The actual focal length of the lens, in mm.","Conversion is not made to the focal length of a 35 mm film camera, use the property abcd:focalLengthIn35mmFilm for this instead.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,focalLengthIn35mmFilm,Focal Length In 35 mm Film,"This tag indicates the equivalent focal length assuming a 35 mm film camera, in mm.","For the actual focal length of the camera, please use the property abcd:focalLength.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,flash,Flash,"This tag indicates the flash status when the picture was taken, as a human readable value.","This element is related to Flash in Exif/DCFwriter, however in there formats, a short value is used to denote the status of the flash in 6 bits. In this field the human readable interpretation of these bits is expected.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,digitalZoomRatio,Digital Zoom Ratio,This property indicates the digital zoom ratio when the image was shot.,"If the numerator of the recorded value is 0, this indicates that digital zoom was not used.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,gamma,Gamma,Indicates the value of coefficient gamma used in gamma correction.,The formula of transfer function used for image reproduction is expressed as follows: (Reproduced value) = (Input value)^gamma.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,exposureMode,Exposure Mode,This property indicates the exposure mode set when the image was shot. This is an EXIF term.,"In auto-bracketing mode, the camera shoots a series of frames of the same scene at different exposure settings.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,exposureMode,Exposure Mode,This property indicates the exposure mode set when the image was shot. This is an EXIF term.,"The specification defines three values: auto-exposure (0), manual exposure (1) and auto-bracket (2).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,shutterSpeed,Shutter Speed,The APEX (Additive System of Photographic Exposure) value for the shutter speed setting.,"To enter the time in seconds, please use abcd:exposureTime.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,shutterSpeed,Shutter Speed,The APEX (Additive System of Photographic Exposure) value for the shutter speed setting.,Uses range -5 (30 seconds) to 11 (1/2000 second).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,brightness,Brightness,"This property describes the average scene luminance (""brightness"") of the APEX exposure model.",Ordinarily it is given in the range of -99.99 to 99.99.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,brightness,Brightness,"This property describes the average scene luminance (""brightness"") of the APEX exposure model.","Note that if the numerator of the recorded value is FFFFFFFF.H, Unknown shall be indicated.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,websiteURL,Website URL,The URL of a web page for the associated class.,Not to be confused with URIs for external identifiers.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,exactValue,Exact Value,The exact value of a measurement.,Used for measurements yielding only one exact value. To denote value ranges use abcd:LowerValue and abcd:UpperValue.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,identificationQualifierInsertionPoint,Identification Qualifier Insertion Point,An indicator of the insertion point of the abcd:identificationQualifier.,"The attribute @Insertion-Point defines the name element in the scientific name identified for the unit before which the identification qualifier should be inserted (1 = before entire name, 2 =  before first epithet, 3 = before second epithet)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,sequence,sequence,Meta Property to denote the sequence of statements on a property which is used more than once for an instance of a class.,"Not to be confused with abcd:Sequence, the class for a genomic sequence.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,sequence,sequence,Meta Property to denote the sequence of statements on a property which is used more than once for an instance of a class.,"This is commonly used to either denote the order of importance of statements (the lowest sequence number, usually 1, is considered the primary or most important one, e.g. the order of gathering agents) or the order in which they where gathered (e.g. the order of coordinate sets).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,referenceSystem,Reference System,"The reference system used for measuring, such as the geodetic datum.","Particularly to be used with the special Measurement Or Fact assertions: abcd:hasHeight, abcd:hasAltitude and abcd:hasDepth.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
abcd:,hybridFlagInsertionPoint,Hybrid Flag Insertion Point,An indicator of the insertion point of the abcd:hybridFlag.,"The insertion point defines the name element in front of which the hybrid flag should be inserted (1 = before entire name, 2 = before first epithet, 3 = before second epithet)",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,
