seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
18.7627,175.606,-0.569492,9.18365,2.333,0.0208016,0.0498225,-0.0942185
18.8203,175.035,-0.878166,9.28655,2.45264,0.0635622,0.0547094,-0.0624535
18.9492,175.669,-0.648455,9.49472,1.3352,0.248043,0.119461,0.0114612
19.0078,175.68,-0.595813,9.47079,1.64148,0.23888,0.14695,0.0181807
19.0654,175.405,-0.5336,9.65743,0.89013,0.23827,0.0247771,0.0499457
19.123,175.627,-0.112463,9.77947,0.571885,0.157025,-0.10717,0.053
19.1807,175.468,-0.602991,9.70768,-0.136391,0.0543992,0.129846,0.0389501
19.2393,175.637,-0.581456,9.63111,0.258425,-0.0176829,-0.020427,0.0560543
19.2969,175.479,-0.433101,9.67658,0.334995,-0.0812128,0.108466,0.0591086
19.3545,175.341,0.39003,9.69572,0.739382,-0.127639,0.145117,0.0371175
19.5791,175.923,-0.380459,9.60718,1.29212,-0.0537239,-0.0503594,-0.0679513
19.6377,176.039,-0.760918,9.58326,1.1318,-0.0555565,-0.024703,-0.0795577
19.6953,176.113,-0.607777,9.48515,1.85683,-0.0323437,-0.0980069,-0.100938
19.8555,175.88,-0.736989,9.68136,1.80658,0.0159146,0.0718137,-0.0679513
19.9131,175.87,-0.909273,9.56172,1.72523,0.0513449,0.18238,-0.0319103
19.9707,176.197,-0.916451,9.61197,1.22273,0.0458471,0.129846,0.0071851
20.0283,176.018,-0.449851,9.57368,1.88076,0.0360732,0.113963,0.0493348
20.1543,176.398,-0.818345,9.69811,0.696311,-0.0176829,0.0241662,0.00840685
20.2139,176.514,-0.526421,9.61676,1.09831,-0.0555565,-0.0900655,-0.0129734
20.2715,176.155,-0.411566,9.54976,0.815953,-0.067163,-0.129161,-0.0563449
20.3291,176.06,-0.129212,9.53061,1.28734,-0.0793803,-0.143211,-0.121707
20.3867,175.923,-0.299103,9.70768,1.24905,-0.0879324,-0.132215,-0.141866
20.4443,175.933,-0.538385,9.42772,1.70848,-0.0311219,0.0284422,-0.13026
20.502,175.997,-1.42134,9.14776,1.45723,-0.0182938,0.198263,-0.103992
20.7295,176.039,-0.342174,9.47079,1.87358,0.0458471,0.105411,0.0823215
20.7881,175.901,-0.758525,9.84407,1.48355,0.0971597,0.0107272,0.108589
20.8467,175.997,-0.478565,9.54497,1.95015,0.0751686,0.0809766,0.118973
20.9043,175.817,-0.265603,9.48515,1.8018,0.113653,0.142674,0.12386
20.9619,175.637,-0.368495,9.52822,1.39023,0.138088,-0.0253139,0.0707151
21.0205,175.743,0.349352,9.76511,0.634098,0.0275211,0.0101163,-0.0789469
21.1729,176.599,0.11007,9.7699,0.205783,-0.0592217,0.176882,-0.157748
21.2949,176.092,-1.44287,9.57368,1.44766,-0.157571,-0.173143,-0.171798
21.3535,176.197,-1.39023,9.62872,2.10568,-0.141078,0.165276,-0.0795577
21.4102,175.753,-1.27059,9.7005,2.04826,-0.12886,-0.0369204,-0.0172495
21.4678,176.61,-1.24188,9.55454,2.50768,-0.0561674,0.0088945,0.00229819
21.5254,176.092,-0.894916,9.65265,0.751346,-0.0457827,0.0168358,0.0493348
21.583,175.775,-1.57208,9.63829,3.08195,-0.0616652,-0.19208,0.101258
21.6406,176.25,-0.224925,9.40619,2.09372,-0.0677738,0.257517,0.0902627
21.8643,176.187,-0.0430708,9.2698,2.35454,0.028132,0.065705,-0.0551231
21.9229,176.504,-0.00478565,9.28655,1.5003,0.050734,0.084031,-0.122318
21.9795,176.271,-0.495314,10.2126,1.13659,0.032408,-0.0583006,-0.121097
22.0371,176.832,-0.641276,9.82732,0.933201,0.109988,0.0785332,-0.151029
22.0947,176.969,-0.708276,9.31287,0.366102,0.00736257,0.160389,-0.132092
22.1523,176.99,-0.708276,10.0475,1.79701,-0.0830455,-0.0442507,-0.0288559
22.2119,176.388,-1.51705,9.88954,0.380459,-0.103204,-0.0613549,0.00962856
22.3379,176.229,-0.253639,9.6694,1.43569,-0.20644,0.167719,0.167843
22.3965,175.901,0.0765703,9.59761,2.43829,-0.164901,0.00339675,0.108589
22.5205,176.356,0.229711,9.47079,1.50509,-0.198499,-0.00332272,0.0365066
22.5771,176.43,-0.081356,9.60718,2.132,-0.18506,0.350368,-0.0520688
22.6348,176.345,-0.131605,9.20041,2.59143,-0.24126,-0.0393638,-0.117431
22.6924,175.648,-0.00717847,9.17169,2.28754,-0.245536,0.0614289,-0.140644
22.75,175.764,-1.04088,9.49712,2.48614,-0.298681,0.0437138,-0.161414
22.9756,175.901,-1.36391,8.99462,2.16311,-0.561964,-0.126718,-0.042295
23.0342,175.923,-0.770489,9.10469,2.18704,-0.661535,0.0223336,-0.0398515
23.0908,175.648,-0.689133,8.49213,2.34257,-0.84174,0.0259988,0.0139046
23.1484,175.51,-0.672383,8.51366,2.54836,-0.941311,0.220865,0.00596337
23.207,175.225,-0.591027,7.95614,2.01954,-1.15145,-0.0821244,0.0145155
23.2637,174.633,-0.234497,6.68076,2.22533,-1.32982,-0.130994,-0.0203038
23.3213,174.485,-0.177069,5.96531,2.44068,-1.56989,0.147561,-0.0569557
23.3789,174.686,-2.18943,2.51725,2.78524,-1.81729,0.00706196,-0.0306885
23.5059,174.686,0.433101,-0.31346,0.868595,-2.48741,-0.141989,-0.223722
23.5645,174.57,0.990629,-3.64905,0.70349,-2.58637,0.531795,-0.193789
23.6221,174.443,0.157926,-6.14956,0.0167498,-3.37194,1.41388,-0.331234
23.6787,174.39,-14.1392,-18.5276,78.3386,2.83139,-1.69236,-1.10581
23.8047,173.449,-0.323031,-5.71406,-3.40738,-0.773323,-2.36065,-0.0673404
23.8623,173.576,1.71087,0.775275,4.24008,0.275532,1.25567,-0.00319959
23.9189,173.555,4.54397,1.97886,21.3488,0.952981,0.857997,0.150127
24.1426,173.597,1.1988,-0.0526421,9.18365,0.0989923,0.158556,-0.0227473
24.2012,173.682,0.495314,-1.45484,10.9902,0.0580644,0.0626507,-0.0135843
24.2588,173.661,0.260818,-0.351745,9.83689,-0.0152394,0.0253879,-0.0050322
24.3164,173.534,0.330209,-0.509671,9.93979,0.0244668,0.107855,-0.0209147
24.374,173.249,0.461815,-0.59342,9.75315,0.00430824,0.00522935,-0.0215255
24.4404,173.534,0.758525,-0.619741,9.8704,0.0134712,0.0168358,-0.0190821
24.4971,173.566,0.571885,-0.567099,9.868,0.0134712,0.00217503,-0.0129734
24.623,173.64,0.751346,-0.567099,9.77468,0.00919515,0.0180575,-0.014806
24.6816,173.597,0.799203,-0.583849,9.93022,0.00675172,0.00278592,-0.0117517
24.7383,173.576,0.507278,-0.545564,9.94696,0.00675172,0.0241662,-0.0160278
24.7959,173.439,0.739382,-0.555135,9.85604,0.0104169,0.0247771,-0.0215255
24.8535,173.534,0.641276,-0.543171,9.76272,0.00919515,0.00584024,-0.014806
