title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
"Irmandade de Nossa Senhora da Conceição, Igreja Nossa Senhora da Piedade do Inhomorim, sêculo XIX",Metadata uploaded,Ingested,Ingested with passable metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\Irmandades\N. S. Conceicao - Mage\N. S. Conceicao 001.1,ESSSS/Brazil/Rio de Janeiro/Magé/Nossa Senhora da Piedade de Inhomorim,,essss:2946,2946,63,08/17/17,8/29/17,2017-08-29T00:00:00Z,8/29/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o, more info about volume needed?"
"Compromisso da Irmandade de São Miguel e Almas da cidade de Magé, 1862",Metadata uploaded,Ingested,Ingested with passable metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\Irmandades\S. Miguel e Almas - Mage\Miguel e Almas 001.1,ESSSS/Brazil/Rio de Janeiro/Magé/Irmandade de São Miguel e Almas,,essss:38455,38455,34,09/15/17,9/18/17,2017-09-18T00:00:00Z,9/18/17,"images rotated on Islandora, corrected on image server + correct pdf in n_o, abstract needed?"
Libro de Venta de Esclavo,Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_001,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:56975,56975,495,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1813),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_002,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:50483,50483,323,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras y Venta (1814),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_003,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:50809,50809,335,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1815),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_004,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:69055,69055,347,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1818),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_005,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:51145,51145,271,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1819),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_006,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:69571,69571,262,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1827),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_007,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:70306,70306,155,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1828),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_008,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:51418,51418,485,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Venta de Esclavo (1831),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_009,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:69834,69834,471,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Notaría Libro (1832),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_010,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:71711,71711,307,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Documentos Varios (1833),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_011,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:51904,51904,380,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras y Demas Instrumentos Públicos (1834),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_012,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:52285,52285,293,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escrituras (1835),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_013,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:70462,70462,879,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1836),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_014,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:52978,52978,109,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Poder General (1838),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_015,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:52579,52579,398,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1839),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_016,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:53359,53359,468,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1840),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_017,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:71342,71342,368,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
Libro de Escritura (1841),Metadata uploaded,Ingested,,EAP 255,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Courtney\EAP255\Chocó\Quibdó\Notarias\Notaria_Primera_de_Quidbó\EAP255_CHOCO_QUIBDO_NOTARIAS_NOTARIAPRIMERA_018,ESSSS/Colombia/Chocó/Quibdó/Notaria Primera de Quibdó,,essss:54132,54132,616,12/17/17,,2017-12-17T00:00:00Z,12/17/17,
