"rdf:about","dcterms:issued","dcterms:modified","rdfs:label","rdfs:comment","dcterms:description","skos:prefLabel","rdfs:isDefinedBy","rdf:type","rdfs:subPropertyOf","dwcattributes:status","dwcattributes:abcdEquivalence","dwcattributes:organizedInClass","dwcattributes:decision","dcterms:replaces","dcterms:replaces1","dcterms:replaces2"
"http://rs.tdwg.org/dwc/terms/namePublishedIn-2009-04-24","2008-11-19","2009-04-24","namePublishedIn","A full reference to the original publication of the scientificName.","Examples: ""Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388"", ""Forel, Auguste, Diagnosies provisoires de quelques espèces nouvelles de fourmis de Madagascar, récoltées par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886""","Name Published In","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/bibliographicCitation","superseded","DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/NomenclaturalReference/TitleCitation","http://rs.tdwg.org/dwc/terms/Taxon",,,,
"http://rs.tdwg.org/dwc/terms/namePublishedIn-2009-09-21","2008-11-19","2009-09-21","namePublishedIn","A reference for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.","Examples: ""Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388"", ""Forel, Auguste, Diagnosies provisoires de quelques espèces nouvelles de fourmis de Madagascar, récoltées par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886""","Name Published In","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/bibliographicCitation","recommended","DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/NomenclaturalReference/TitleCitation","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/namePublishedIn-2009-04-24",,
"http://rs.tdwg.org/dwc/terms/namePublishedInID-2009-09-21","2009-05-18","2009-09-21","namePublishedInID","An identifier for the publication in which the scientificName was originally established under the rules of the associated nomenclaturalCode.","Example: ""http://hdl.handle.net/10199/7""","Name Published In ID","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property","http://purl.org/dc/terms/identifier","recommended","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/namePublicationID-2009-05-18",,
"http://rs.tdwg.org/dwc/terms/namePublishedInYear-2011-10-16","2011-10-16","2011-10-16","namePublishedInYear","The four-digit year in which the scientificName was published.","Examples: ""1915"", ""2008""","Name Published In Year","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"recommended","not in ABCD","http://rs.tdwg.org/dwc/terms/Taxon","http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2011-10-16_8",,,
"http://rs.tdwg.org/dwc/dwctype/NomenclaturalChecklist-2009-01-23","2009-01-23","2014-10-23","NomenclaturalChecklist","A resource describing a nomenclatural checklist.",,"Nomenclatural Checklist","http://rs.tdwg.org/dwc/dwctype/","http://www.w3.org/2000/01/rdf-schema#Class",,"deprecated","not in ABCD",,"http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15",,,
"http://rs.tdwg.org/dwc/dwcore/NomenclaturalCode-2007-04-17","2007-04-17","2007-04-17","NomenclaturalCode","The nomenclatural code under which the ScientificName is constructed. Examples: ""ICBN"", ""ICZN"", ""BC"", ""ICNCP"", ""BioCode""",,"Nomenclatural Code","http://rs.tdwg.org/dwc/dwcore/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/Code",,,,,
"http://rs.tdwg.org/dwc/terms/nomenclaturalCode-2009-04-24","2008-11-19","2009-04-24","nomenclaturalCode","The nomenclatural code under which the scientificName is constructed. Recommended best practice is to use a controlled vocabulary.","Examples: ""ICBN"", ""ICZN"", ""BC"", ""ICNCP"", ""BioCode""","Nomenclatural Code","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/Code","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/dwcore/NomenclaturalCode-2007-04-17",,
"http://rs.tdwg.org/dwc/terms/nomenclaturalCode-2009-09-21","2008-11-19","2009-09-21","nomenclaturalCode","The nomenclatural code (or codes in the case of an ambiregnal name) under which the scientificName is constructed. Recommended best practice is to use a controlled vocabulary.","Examples: ""ICBN"", ""ICZN"", ""BC"", ""ICNCP"", ""BioCode"", ""ICZN; ICBN""","Nomenclatural Code","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"recommended","DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/Code","http://rs.tdwg.org/dwc/terms/Taxon",,"http://rs.tdwg.org/dwc/terms/nomenclaturalCode-2009-04-24",,
"http://rs.tdwg.org/dwc/terms/nomenclaturalStatus-2009-04-24","2009-01-18","2009-04-24","nomenclaturalStatus","The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code. It requires no taxonomic opinion.","Examples: ""nom. ambig."", ""nom. illeg."", ""nom. subnud.""","Nomenclatural Status","http://rs.tdwg.org/dwc/terms/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"recommended","(DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/NomenclaturalReference/TitleCitation) pro parte","http://rs.tdwg.org/dwc/terms/Taxon",,,,
"http://digir.net/schema/conceptual/darwin/2003/1.0/Notes-2003-06-13","2003-06-13","2003-06-13","Notes","Free text notes attached to the specimen record",,"Notes","http://digir.net/schema/conceptual/darwin/2003/1.0/","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property",,"superseded","DataSets/DataSet/Units/Unit/Notes",,,,,
