rdf_about,dcterms_issued,dcterms_modified,localName,rdfs_comment,dcterms_description,skos_prefLabel,rdfs_isDefinedBy,rdf_type,rdfs_subPropertyOf,dwcattributes_status,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,dcterms_replaces,dcterms_replaces1,dcterms_replaces2
http://rs.tdwg.org/dwc/terms/MeasurementOrFact-2009-04-24,2009-04-24,2014-10-23,MeasurementOrFact,"The category of information pertaining to measurements, facts, characteristics, or assertions about a resource (instance of data record, such as Occurrence, Taxon, Location, Event).",,Measurement Or Fact,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,Datasets/Dataset/Units/Unit/MeasurementsOrFacts or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/EventMeasurement-2008-11-19,http://rs.tdwg.org/dwc/terms/OccurrenceMeasurement-2008-11-19,
http://rs.tdwg.org/dwc/terms/MeasurementOrFact-2014-10-23,2009-04-24,2014-10-23,MeasurementOrFact,A measurement of or fact about an rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource).,"Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to Occurrences, Organisms, MaterialSamples, Events, Locations, GeologicalContexts, Identifications, or Taxa. Examples: The weight of an organism in grams. The number of placental scars.",Measurement or Fact,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,Datasets/Dataset/Units/Unit/MeasurementsOrFacts or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/MeasurementOrFact-2009-04-24,,
http://rs.tdwg.org/dwc/dwctype/NomenclaturalChecklist-2009-01-23,2009-01-23,2014-10-23,NomenclaturalChecklist,A resource describing a nomenclatural checklist.,,Nomenclatural Checklist,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,,deprecated,not in ABCD,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,,,
http://rs.tdwg.org/dwc/dwctype/Occurrence-2009-04-24,2008-11-19,2008-11-19,Occurrence,A resource describing an instance of the Occurrence class.,,Occurrence,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,http://purl.org/dc/dcmitype/Event,superseded,not in ABCD,,,,,
http://rs.tdwg.org/dwc/terms/Occurrence-2009-04-29,2008-11-19,2014-10-23,Occurrence,"The category of information pertaining to evidence of an occurrence in nature, in a collection, or in a dataset (specimen, observation, etc.).",,Occurrence,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,DataSets/DataSet/Units/Unit,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/Sample-2008-11-19,,
http://rs.tdwg.org/dwc/dwctype/Occurrence-2011-10-16,2008-11-19,2014-10-23,Occurrence,A resource describing an instance of the Occurrence class.,,Occurrence,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,,deprecated,not in ABCD,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/dwctype/Occurrence-2009-04-24,,
http://rs.tdwg.org/dwc/terms/Occurrence-2014-10-23,2008-11-19,2014-10-23,Occurrence,An existence of an Organism (sensu http://rs.tdwg.org/dwc/terms/Organism) at a particular place at a particular time.,Examples: A wolf pack on the shore of Kluane Lake in 1988. A virus in a plant leaf in a the New York Botanical Garden at 15:29 on 2014-10-23. A fungus in Central Park in the summer of 1929.,Occurrence,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,DataSets/DataSet/Units/Unit,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,http://rs.tdwg.org/dwc/terms/Occurrence-2009-04-29,,
http://rs.tdwg.org/dwc/terms/OccurrenceMeasurement-2008-11-19,2008-11-19,2009-04-24,OccurrenceMeasurement,The category of information pertaining to measurements accociated with an occurrence.,,Occurrence Measurement,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,superseded,Datasets/Dataset/Units/Unit/MeasurementsOrFacts,http://rs.tdwg.org/dwc/terms/Occurrence,,,,
http://rs.tdwg.org/dwc/terms/Organism-2014-10-23,2014-10-23,2014-10-23,Organism,A particular organism or defined group of organisms considered to be taxonomically homogeneous.,"Instances of the Organism class are intended to facilitate linking of one or more Identification instances to one or more Occurrence instances. Therefore, things that are typically assigned scientific names (such as viruses, hybrids, and lichens) and aggregates whose occurrences are typically recorded (such as packs, clones, and colonies) are included in the scope of this class.",Organism,http://rs.tdwg.org/dwc/terms/,http://www.w3.org/2000/01/rdf-schema#Class,,recommended,not in ABCD,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_14,,,
http://rs.tdwg.org/dwc/dwctype/PreservedSpecimen-2008-11-19,2008-11-19,2008-11-19,PreservedSpecimen,A resource describing a preserved specimen.,,Preserved Specimen,http://rs.tdwg.org/dwc/dwctype/,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/dwc/dwctype/Occurrence,superseded,RecordBasisEnum/PreservedSpecimen,,,,,
