usda,tsn
alfa2,42769
allu,42770
alob3,42771
alto2,500955
aletr,42767
almo2,28208
almok2,
aleur,28206
alma12,500956
alhag,26452
alca23,
alfo3,
alha6,
alhe3,
alhu6,
alla13,
allai,
allal3,
alle7,
allo6,
almc,
almi10,
alny2,
alpe11,
alpi2,
alri3,
alse11,
alst12,
alsu10,
alsu9,
alte12,
altr14,
alici,
algr,38896
alla2,564996
alpl,38894
alsu,38895
altr7,182441
alism,38891
alti,506016
alkan,500667
albl,564997
alca7,30127
alhe4,
alsc4,30126
allam,30125
alal60,190557
alal61,190558
alsi7,
allan2,190556
aloc2,20677
allen,20676
alpe4,184481
allia,23027
alch,19579
alin,19581
alini,531409
alinn,531410
alinv2,531411
allio,19578
alaa,42638
alab2,506822
alac4,42707
alaf,
alal4,185453
alam,42708
alam2,42709
alan,42710
alas2,506481
alat,42712
alata,182632
alatc,530998
alat3,
albi,42713
albi2,42714
albib,182634
albip,182635
albo,42715
albob,182636
albom,531391
albos,182637
albr,42716
albr2,42717
albu2,185461
albu,42718
alca2,42719
alca3,42635
alcac,182590
alcae,526866
alcaf,526867
alcah,526868
alcal,526869
alcam,526870
alca24,
alce,42720
alce2,42721
alcec2,182641
alcen,182642
alceo,182643
alch5,506482
alco2,182645
alco3,182646
alco,42694
alcr3,42695
alcr4,42640
alcr5,42641
alcu,42696
alde6,506823
aldi10,506824
aldi2,42698
aldi3,42699
aldo,42700
aldr,42701
alel,42702
alfa3,42703
alfi,42704
alfi2,42642
alfif,182601
alfim,526871
alfip2,526872
alfi4,185463
alge,42643
algec,531392
algeg,182610
alget,526873
algl,42705
algo,42675
alha,42676
alhi,42677
alho,42678
alho2,42679
alhoc,182624
alhoh,182623
alhos,526874
alhy,42644
alje,185464
alku,42680
alla3,42645
allad,182613
allak,182614
allal,182612
allam2,182615
alle3,42681
alma4,42682
alma5,42683
alma6,42684
alme,42685
almo15,
almo3,42646
almu6,506825
alne3,42686
alne8,
alne,42687
alne4,182647
alni,42647
alob,42688
alobc,182629
alobo,182628
alod2,506483
alol,42689
alox,182648
alpa20,507867
alpa2,42648
alpa11,185392
alpa3,42690
alpa5,42691
alpe,42692
alpef,530999
alpep2,531000
alpe2,42693
alpep,182630
alpes,182631
alpl2,42649
alpl3,42658
alpl4,42650
alpo2,42659
alpr2,42660
alpu,42661
alro,42662
alru,42663
alsa,42664
alsac,185407
alsas,185406
alsa2,42652
alsc,42636
alscs,526875
alscs2,182596
alsc2,42665
alsc3,42666
alscr,182619
alse3,42667
alse,
alsh2,507868
alsh,182650
alsi,42668
alsi2,42653
alsp2,182651
alst,42669
alte,42670
alto,42671
altop,182621
altop2,182622
altot,182620
altr2,42654
altr3,42672
altr4,42673
altu3,506484
altu,182652
alun,42674
alur,
alva,42655
alvi3,42656
alvi,42637
alvic3,524884
alvik2,
alviv,182599
alpr6,
alyo,42657
alliu,42634
alac8,
alca22,
alco15,
aldi12,
alhu5,
alle5,
alli5,
allu3,
alna4,
alpa23,
alpu10,
alto5,
alve7,
alloc2,
aloa,
alloc,190559
alte3,41380
allol,41379
aldi4,31032
algi,31033
algig,182237
algiv,182238
algl3,31030
