qid,id,name,affiliation,orcid,viaf,other
,https://orcid.org/0000-0002-0023-2595,Jessie Kennedy,Q1277357,0000-0002-0023-2595,,
,https://orcid.org/0000-0001-8332-2571,Joel Sachs,Q4914768,0000-0001-8332-2571,,
,https://orcid.org/0000-0002-5905-1617,John Deck ,,0000-0002-5905-1617,,
,https://orcid.org/0000-0003-0174-3239,John R.U. Wilson,Q30296386,0000-0003-0174-3239,,
,https://orcid.org/0000-0003-1144-0290,John Wieczorek,Q4914768,0000-0003-1144-0290,,
,https://orcid.org/0000-0001-7694-8250,Jonathan Rees,Q168751,0000-0001-7694-8250,,
,http://www.bgbm.org/de/personal/joerg-holetschek,Jörg Holetschek,Q163255,,,http://www.bgbm.org/de/personal/joerg-holetschek
Q51883873,http://www.wikidata.org/entity/Q51883873,José Cuadra,,,,
,https://orcid.org/0000-0002-2524-2773,Ken Bailey,Q18748726,0000-0002-2524-2773,,
,http://viaf.org/viaf/69104243,Kerry Walter,Q1807521,,69104243,
,https://orcid.org/0000-0002-6658-6636,Kevin R. Thiele,Q7987522,0000-0002-6658-6636,,
Q51883936,http://www.wikidata.org/entity/Q51883936,Kevin Richards,Q1801980,,,
,https://orcid.org/0000-0002-4031-1968,Kitty Emery,Q501758,0000-0002-4031-1968,,
,https://orcid.org/0000-0002-9284-8871,Laura Brenskelle,Q501758,0000-0002-9284-8871,,
,http://viaf.org/viaf/80432287,Laurence J. Dorr,,,80432287,
,https://orcid.org/0000-0001-8900-6203,Lee Belbin,Q4914768,0000-0001-8900-6203,,
,https://orcid.org/0000-0001-7484-9267,Lien Reyserhove,Q7315097,0000-0001-7484-9267,,
,http://viaf.org/viaf/66539117,Lisa C. Barnett,,,66539117,
,https://orcid.org/0000-0002-8481-9034,Marie Elise Lecoq,,0000-0002-8481-9034,,
,https://orcid.org/0000-0003-0632-7576,Mark Schildhauer ,Q6971323,0000-0003-0632-7576,,
,https://orcid.org/0000-0001-7757-1889,Markus Döring,Q1531570,0000-0001-7757-1889,,
,https://orcid.org/0000-0003-0623-6682,Matthew Blissett,Q1531570,0000-0003-0623-6682,,
,https://orcid.org/0000-0003-3388-2241,Melodie McGeoch,Q100600923,0000-0003-3388-2241,,
,http://viaf.org/viaf/48257155,Michael J. Dallwitz,,,48257155,
,https://orcid.org/0000-0002-1741-9997,Michelle LeFebvre,Q501758,0000-0002-1741-9997,,
,https://orcid.org/0000-0002-8234-0599,Mihail Carausu,,0000-0002-8234-0599,,
,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1f870a85-7a31-473e-ad76-fcce00469c83,Neil A. Brummitt,,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1f870a85-7a31-473e-ad76-fcce00469c83
,https://orcid.org/0000-0003-2231-6228,Neil Thomson,Q309388,0000-0003-2231-6228,,
,https://orcid.org/0000-0003-4740-286X,Neill Wallis,Q501758,0000-0003-4740-286X,,
,http://viaf.org/viaf/69002167,Noel H. Holmgren,,,69002167,
,https://orcid.org/0000-0002-4601-8180,P. Bryan Heidorn,Q457281,0000-0002-4601-8180,,
,http://viaf.org/viaf/5004494,Patricia K. Holmgren,,,5004494,
,http://rs.tdwg.org/contributor/14,Patricia Kelbert,Q163255,,,http://rs.tdwg.org/contributor/14
,https://orcid.org/0000-0001-5172-8577,Patrick Leary,,0000-0001-5172-8577,,
,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5e51de22-d841-4c47-b0c4-d5ad0bd03035,Paul J. Morris ,Q51926077,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5e51de22-d841-4c47-b0c4-d5ad0bd03035
,https://orcid.org/0000-0002-6056-5084,Paula Zermoglio,Q98382028,0000-0002-6056-5084,,
Q51883997,http://www.wikidata.org/entity/Q51883997,Perry Steven,Q1111807,,,
,https://orcid.org/0000-0002-8442-8025,Peter Desmet,Q7315097,0000-0002-8442-8025,,
,http://viaf.org/viaf/112328349,Peter Wyse Jackson,Q1339511,,112328349,
Q51883977,http://www.wikidata.org/entity/Q51883977,Piers Higgs,,,,
,https://orcid.org/0000-0002-0596-5376,Quentin Groom,Q3052500,0000-0002-0596-5376,,
,https://orcid.org/0000-0001-8815-0078,Ramona Walls,Q503419,0000-0001-8815-0078,,
,https://orcid.org/0000-0002-7104-7266,Renato De Giovanni,Q29168927,0000-0002-7104-7266,,
Q51883958,http://www.wikidata.org/entity/Q51883958,Ricardo Scachetti-Pereira,Q4914768,,,
,http://viaf.org/viaf/232871584,Richard J. White,,,232871584,
,http://viaf.org/viaf/41921927,Richard K. Brummitt,,,41921927,
,http://viaf.org/viaf/41424576,Richard Piacentini,Q1339511,,41424576,
,https://orcid.org/0000-0003-0768-1286,Richard Pyle,Q826520,0000-0003-0768-1286,,
,http://viaf.org/viaf/9863210,Richard S. Cowan,,,9863210,
,https://orcid.org/0000-0002-6992-9446,Robert A. Morris,Q15144,0000-0002-6992-9446,,
,http://viaf.org/viaf/64067143,Robert Allkin,,,64067143,
Q51883993,http://www.wikidata.org/entity/Q51883993,Robert Gales,Q1111807,,,
,https://orcid.org/0000-0001-6682-1504,Robert Guralnick,Q501758,0000-0001-6682-1504,,
,https://orcid.org/0000-0003-4581-1379,Roger Hyam,Q4914768,0000-0003-4581-1379,,
,http://viaf.org/viaf/278739412,Ruud Altenburg,Q51926832,,278739412,
,http://viaf.org/viaf/26204975,S. Hollis,,,26204975,
,https://orcid.org/0000-0001-7920-5321,Sarah Kansa,Q30257865,0000-0001-7920-5321,,
,https://orcid.org/0000-0002-4726-7373,Simon Thornton Wood,Q1032739,0000-0002-4726-7373,,
,https://orcid.org/0000-0002-6298-5373,Sonia Vanderhoeven,Q100600896,0000-0002-6298-5373,,
,https://orcid.org/0000-0002-4419-6960,Stanley Blum,Q4914768,0000-0002-4419-6960,,
,https://orcid.org/0000-0003-4365-3135,Steve Baskauf,Q4914768,0000-0003-4365-3135,,
,https://orcid.org/0000-0002-5705-8655,Steve Waldren,Q1339511,0000-0002-5705-8655,,
,https://orcid.org/0000-0001-6413-3185,Stijn Van Hoey,Q7315097,0000-0001-6413-3185,,
,http://viaf.org/viaf/91310738,Theodore J. Crovello,,,91310738,
,https://orcid.org/0000-0001-7268-4200,Tim Adriaens,Q7315097,0000-0001-7268-4200,,
,https://orcid.org/0000-0001-6215-3617,Tim Robertson,Q1531570,0000-0001-6215-3617,,
,http://viaf.org/viaf/276948380,Toni Anne Paine,,,276948380,
,https://orcid.org/0000-0002-4852-2567,Vijay Barve,,0000-0002-4852-2567,,
,https://orcid.org/0000-0002-3425-6499,Vishwas Chavan,Q1531570,0000-0002-3425-6499,,
,https://orcid.org/0000-0001-9945-7606,Walter G. Berendsohn,Q163255,0000-0001-9945-7606,,
,https://orcid.org/0000-0003-2863-2491,William Ulate ,,0000-0003-2863-2491,,
,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/21e8d5c7-464f-41c3-9e9c-1ce09b0d4f1f,Wolf-Henning Kusber,Q163255,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/21e8d5c7-464f-41c3-9e9c-1ce09b0d4f1f
,https://orcid.org/0000-0002-3090-1761,Wouter Addink,Q51926832,0000-0002-3090-1761,,
