term_localName,label,definition,usage,notes,rdf_type
molecularDataUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
naturalHistory,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
naturalHistoryUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
nomenclatureAndClassification,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
commonNamesUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
populationBiology,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
populationBiologyAtomized,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
populationBiologyUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
recordMetadata,,"This element includes the information about the Version, Revision,the language and target audiences of the Taxon Record.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
reproductionAtomized,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
revision,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
references,,From EOL,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
reproduction,,All data related to the production of offspring.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
reproductionUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
synonymsAtomized,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
synonyms,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
synonymsUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
targetAudiences,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
taxonomicDescription,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
taxonomicDescriptionUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
taxonRecord,,Information about the record.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
taxonRecordName,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
territoryUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
territory,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
territoryAtomized,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
threatStatusUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
threatStatus,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
threatStatusAtomized,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
usesAtomized,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
uses,,Ways in which species are utilized by people,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
usesManagementAndConservation,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
usesManagementAndConservationUnstructured,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
usesUnstructured,,Uses in a unstructured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
value,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
version,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
iD,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
